"Category";"49 jaar";"50-54 jaar (a)";"55-59 jaar";"60-64 jaar";"65-69 jaar";"70-74 jaar";"75 jaar (b)";"Totaal"
"2000";77.2;79.8;81.5;81.3;79.3;67.7;58.3;78.5
"2001";78.4;79.8;81.3;80.9;79.6;70.1;51.3;78.7
"2002";78.2;79.5;81.5;81.3;80;71.8;57.3;79.1
"2003";79.8;81;82.7;82.7;81.6;74.7;58.6;80.8
"2004";80.1;80.9;82.5;82.6;81.6;75.3;58.2;80.8
"2005";80.6;81.5;83.1;83.3;82.6;77.1;59.7;81.7
"2006";79.7;81.3;83.1;83.7;82.6;77.6;64.4;81.8
"2007";79.9;81.6;83.4;84.2;83.4;79.1;67.8;82.4
"2008";79.9;81;82.7;83.9;83.2;79.1;67.5;82
"2009";78.6;80.5;82.3;83.5;82.6;78.6;69.7;81.5
"2010";77.5;79.5;81.7;82.7;82.3;77.7;71;80.7
"2011";77;78.7;81.1;82.1;81.8;77.5;65.9;80.1
"2012";76.5;78.2;80.7;81.3;81.5;77;67;79.7
"2013";74.8;77.6;80.3;81.3;81.7;77.1;67.6;79.4
"2014";74.6;77.1;79.6;80.7;80.8;76.6;72.9;78.8
"2015";74.5;75.7;78.3;79.3;79.6;75.7;65.6;77.6
"2016";74.8;75.6;77.7;79;79.3;75.9;67.6;77.3
"2017";74;74.9;77;78.7;79.1;76;67.6;76.9
"2018";74.6;74.9;76.7;78.5;79.3;76.1;70;76.8
"2019";74.1;74.1;75.6;77.8;78.8;75.7;;76
"2020";;70;70.9;72.3;74;70.6;62.8;71.2
"2021";;70.6;71.9;73.5;75.5;72.6;69;72.5